Close,High,Low,Open,Volume
BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
1348.576171875,1357.2579023292392,1334.1065174919825,1334.1065174919825,49671357
1342.787841796875,1354.3636861531177,1339.8938807078143,1342.787841796875,54526841
1334.1063232421875,1345.6820139753613,1331.2123616991676,1337.0001293463017,71601886
1363.045654296875,1363.045654296875,1339.8941169414763,1342.788078540765,160783727
1386.1971435546875,1386.1971435546875,1365.9395685014647,1365.9395685014647,161332636
1391.9852294921875,1400.6669595661556,1383.3033439792982,1391.9852294921875,147933855
1360.1517333984375,1383.3032714466171,1357.257771712551,1365.9396567702106,98847157
1368.83349609375,1371.7274575209406,1354.363844396697,1354.363844396697,86738698
1360.1517333984375,1377.515348074844,1360.1517333984375,1363.045695084324,88165422
1354.364013671875,1365.9397053885255,1351.4700518829827,1354.364013671875,163544774
1339.8941650390625,1371.7275883350367,1337.000203335891,1348.5760501485777,160613224
1342.787841796875,1354.3636861531177,1339.8938807078143,1342.787841796875,102499770
1331.2122802734375,1345.6819316645717,1310.9547061502913,1342.7879702985656,305800881
1322.530517578125,1348.5760168241502,1316.7425943148062,1345.6820551924907,238037511
1328.3184814453125,1339.8941728868845,1316.7426345648257,1331.2124431654343,179535751
1374.6214599609375,1374.6214599609375,1342.7880387509686,1342.7880387509686,185410952
1374.6214599609375,1383.3031890626353,1348.5759617780363,1365.9395754203358,200738617
1380.4090576171875,1391.9849022463068,1374.6212907415127,1380.4090576171875,136142751
1354.364013671875,1380.409358894068,1351.4700518829827,1380.409358894068,162863863
1354.364013671875,1360.1517818107407,1348.5760900940904,1360.1517818107407,102927127
1351.4700927734375,1363.0457848403253,1348.5761308969848,1354.3640546498902,147868954
1357.2576904296875,1357.2576904296875,1342.78803830572,1351.4699228434429,74154480
1360.1517333984375,1368.8336184560974,1357.257771712551,1360.1517333984375,102041612
1363.045654296875,1380.409268453697,1357.2577310982983,1374.6215006940288,214824910
1354.364013671875,1363.0457435996332,1345.6821283051981,1360.1517818107407,142598763
1348.576171875,1363.0458262580175,1345.682209910611,1363.0458262580175,194154453
1351.4700927734375,1365.939746716778,1342.788207144079,1342.788207144079,143648731
1348.576171875,1365.9397882224066,1345.682209910611,1345.682209910611,155653238
1354.364013671875,1360.1517818107407,1348.5760900940904,1357.2578200218484,115794600
1374.6214599609375,1377.5152660355675,1354.3638848051041,1354.3638848051041,227360177
1389.091064453125,1391.9850258674153,1380.4091802102544,1386.1971030388347,263997959
1391.9852294921875,1394.8791913298173,1380.4093821416686,1389.091267654558,296563472
1389.091064453125,1391.9850258674153,1386.1971030388347,1386.1971030388347,138546843
1444.0760498046875,1458.5458587278235,1415.1367428362523,1418.0307046208795,546873345
1473.015380859375,1481.6971100001656,1446.9698825591943,1449.8638440857594,205554500
1470.1214599609375,1475.9093831740222,1441.1819993344238,1473.01542156748,195699430
1481.697265625,1504.8488048302559,1470.1215737418327,1470.1215737418327,238958777
1496.1671142578125,1496.1671142578125,1481.697304723379,1493.2731523509258,117731733
1499.06103515625,1504.8488033727676,1487.4851878453733,1496.167073328531,116841818
1490.37890625,1510.6364802964508,1490.37890625,1510.6364802964508,103315434
1499.06103515625,1499.06103515625,1487.4851878453733,1490.3791496730923,114639580
1490.37890625,1501.9545962313023,1475.909254913648,1475.909254913648,92189292
1484.59130859375,1493.2731945598123,1481.6973466050624,1487.4852705824374,117220774
1487.4852294921875,1490.3791914009323,1478.8034992048786,1487.4852294921875,90490312
1513.5306396484375,1513.5306396484375,1484.591177751038,1490.379101218301,96560217
1496.1671142578125,1504.8488445395474,1487.4852285371524,1504.8488445395474,98470400
1490.37890625,1516.4244030065497,1484.5909835399011,1487.4849448949506,91844436
1487.4852294921875,1490.3791914009323,1473.015575387389,1481.697305674698,150966057
1493.2730712890625,1504.8487628493015,1484.591186039696,1487.4851477894847,75197298
1475.909423828125,1507.742691499123,1475.909423828125,1504.8487298128664,135312787
1493.2730712890625,1504.8487628493015,1464.3336092300904,1464.3336092300904,78571607
1496.1671142578125,1504.8488445395474,1493.2731523509258,1493.2731523509258,66427397
1501.9547119140625,1501.9547119140627,1458.5457545615852,1481.6971363073435,95450848
1510.6368408203125,1516.4247649117392,1499.0611480763914,1510.6368408203125,100387733
1493.2730712890625,1507.7427245990903,1484.591186039696,1484.591186039696,149571783
1493.2730712890625,1501.9548010995125,1490.3791095392737,1493.2730712890625,118939004
1504.8485107421875,1510.6364332721153,1496.1667823861867,1499.0607436511505,116933669
1522.2122802734375,1533.7881265301107,1501.9547047631659,1504.8486663273343,121217143
1519.3184814453125,1536.6820954748114,1507.7426351330416,1510.6365967111094,117552430
1548.3072509765625,1554.228164394306,1527.5842130249173,1527.5842130249173,136639960
1542.3863525390625,1563.109390691978,1536.4654390638127,1539.4258958014377,144405544
1571.9908447265625,1571.9908447265625,1554.2282623641356,1563.109474040115,211002894
1539.4259033203125,1592.713806836912,1536.4654465682281,1571.9907685827811,212229965
1539.4259033203125,1563.1093983265278,1536.4654465682281,1560.1489415744434,125102960
1542.3863525390625,1551.2677227519375,1536.4654390638127,1539.4258958014377,102198365
1560.1488037109375,1569.0301731823831,1548.3071367594562,1554.22804974042,126392733
1551.2674560546875,1563.109121958883,1545.3465435973735,1557.1882095015692,105140366
1548.3072509765625,1560.148918801592,1542.3863375588185,1551.2677076854343,43622903
1542.3863525390625,1557.188477216728,1539.4258958014377,1542.3863525390627,60428993
1539.4259033203125,1545.3468168244815,1533.505148826604,1539.4259033203125,136079500
