Close,High,Low,Open,Volume
ICBP.JK,ICBP.JK,ICBP.JK,ICBP.JK,ICBP.JK
5264.0888671875,5354.15882879337,5244.073320163973,5244.073320163973,4689400
5264.0888671875,5284.104414211027,5043.917849928707,5244.073320163973,6032400
5143.99462890625,5174.017943860956,5103.963542299975,5164.010172209387,4246400
5204.0419921875,5224.057538311298,5154.003126878005,5154.003126878005,1932800
5204.0419921875,5244.0730844350965,5164.010899939904,5164.010899939904,3289000
5184.0263671875,5214.049685916386,5174.018594277872,5174.018594277872,2988800
5003.8857421875,5234.064486328125,4983.87019921875,5224.05671484375,4787400
5093.95556640625,5154.002193908092,5003.885625153487,5003.885625153487,3548200
5083.9482421875,5123.979330708661,5063.932697926919,5093.9560143177905,4583800
5123.9794921875,5123.9794921875,5063.932857513428,5123.9794921875,2841600
5093.95556640625,5133.986651407477,5073.940023905636,5123.97888015717,1819200
5234.0654296875,5244.073202975621,5083.948830365679,5083.948830365679,3033000
5364.1650390625,5384.180580253032,5204.040709538246,5274.095103705107,6917800
5804.50830078125,6424.990222588901,5364.166291756465,5374.1740646888475,13300000
5874.56298828125,5924.601855302385,5804.508574451661,5804.508574451661,13327400
5924.6015625,5954.624881228886,5524.290646114865,5904.586016680743,25127600
5644.3837890625,5894.578105953568,5584.337153008643,5744.461515818927,11636200
5914.59326171875,5924.6010337351945,5674.40673332408,5674.40673332408,4791800
5884.5703125,6004.663584183674,5804.508131377551,5814.515904017858,4075200
5884.5703125,5894.578085140306,5794.500358737245,5804.508131377551,2915400
5804.50830078125,5864.554938375539,5704.430571457436,5824.523846646013,6923800
5724.44580078125,5804.5079798131555,5624.368076991368,5644.3836217493445,2942800
5724.44580078125,5794.500207434167,5664.399166507321,5754.469117918215,3664600
5644.3837890625,5804.508151872784,5644.3837890625,5804.508151872784,4617800
5634.3759765625,5714.438157401753,5564.321568328152,5704.430384796847,4217600
5764.47705078125,5864.5547773573135,5624.368233574762,5704.430414835612,4207600
5814.5146484375,5854.545730354454,5664.398091248924,5664.398091248924,1358000
5674.4072265625,5824.523819857804,5664.399453676146,5824.523819857804,5696800
5634.3759765625,5724.44593000666,5604.35265874778,5674.407066982127,4375000
5694.4228515625,5694.4228515625,5624.368440383348,5634.376213408941,1628000
5694.4228515625,5704.430624588093,5644.383986434535,5704.430624588093,2099400
5754.4697265625,5764.4775,5704.430859375,5704.430859375,1358200
5684.41455078125,5784.492271745709,5634.375690299021,5774.484499649263,2740400
5724.44580078125,5734.453573160238,5624.368076991368,5684.414711265297,7742600
5684.41455078125,5704.430094974142,5644.383462395467,5644.383462395467,3118000
5624.36767578125,5734.453164097253,5604.3521324510675,5734.453164097253,13262600
5614.359375,5634.37491644385,5594.34383355615,5624.367145721925,8354000
5624.36767578125,5674.406534106706,5614.359904116159,5674.406534106706,3039000
5694.4228515625,5694.4228515625,5574.329575255382,5614.360667357755,4737800
5724.44580078125,5724.44580078125,5674.406938886309,5694.422483644285,7134000
5734.453125,5774.484211387435,5684.414267015707,5704.429810209424,5135600
5894.57763671875,5914.593180476709,5764.47660229202,5764.47660229202,15327400
5824.52392578125,5994.656067943245,5734.453968166075,5894.578337259718,13453600
5754.4697265625,5884.57078125,5754.4697265625,5754.4697265625,3666200
5814.5146484375,5834.530189395977,5764.475796041308,5764.475796041308,3557600
5694.4228515625,5804.508354844024,5694.4228515625,5784.492808792838,6212000
5804.50830078125,5844.539392510776,5684.4150255926725,5694.4227985250545,7742400
5724.44580078125,5864.554614087085,5694.422483644285,5734.453573160238,5803200
5844.5390625,5864.554607234589,5734.453566459761,5734.453566459761,7681200
5854.546875,5904.585737179487,5814.51578525641,5904.585737179487,4162600
6004.66455078125,6204.820035807292,5814.51684000651,5854.547937011718,6768400
5964.63232421875,6164.787771340185,5954.624551862678,6164.787771340185,5028000
5964.63232421875,5964.63232421875,5904.58569008232,5924.601234794463,6177800
5944.6162109375,6074.717239123001,5944.6162109375,6004.662839330807,2782400
6044.69384765625,6074.717161469112,5884.569507320985,5924.600592404801,4770600
5924.6015625,6054.702610325169,5904.586016680743,6044.694837415541,5188000
5884.5703125,5934.609175701531,5824.523676658164,5924.601403061225,7891600
5744.4609375,5854.546425849304,5704.429850827527,5854.546425849304,8970600
5674.4072265625,5754.4694096533285,5674.4072265625,5744.461636766975,11087600
5644.3837890625,5714.438197791999,5614.360471035571,5644.3837890625,11059600
5684.41455078125,5754.468955456371,5674.4067786848045,5714.437867070588,5024800
5874.56298828125,5934.609628706612,5724.446387217845,5744.461934026299,12032600
5764.47705078125,5884.570322672526,5754.469278123644,5874.56255001492,2299800
5734.453125,5824.523069371728,5724.445353403142,5794.499754581152,7693200
5734.453125,5764.4764397905765,5724.445353403142,5724.445353403142,4327800
5744.4609375,5784.492024172474,5734.453165831882,5764.476480836237,4130000
5804.50830078125,5844.539392510776,5684.4150255926725,5724.446117322199,7198000
5794.5,5814.515544041451,5764.476683937824,5774.484455958549,4501800
5704.4296875,5824.522944078947,5664.398601973684,5794.499629934211,7981600
5684.41455078125,5694.422322877696,5654.391234491913,5684.41455078125,13297400
5664.3994140625,5684.414959695229,5634.376095613406,5684.414959695229,13049200
5674.4072265625,5684.414999448853,5654.391680789792,5664.399453676146,3317800
5764.47705078125,5764.47705078125,5664.3993242051865,5724.445960150825,3716600
5744.4609375,5744.4609375,5714.437622495645,5724.445394163763,3143000
5684.41455078125,5744.461183359926,5664.399006588359,5744.461183359926,2757200
5724.44580078125,5724.44580078125,5664.399166507321,5664.399166507321,3523400
